"year","player","team","age","gp","w","l","min","pct_pts_2pt","pct_pts_mr","pct_pts_3pt","pct_pts_fstbrk","pct_pts_ft","pct_pts_off_tos","pct_pts_inthept","pct_2ptgfm_asstd","pct_2ptgfm_unasstd","pct_3ptgfm_asstd","pct_3ptgfm_unasstd","pct_fgm_asstd","pct_fgm_unasstd","total_min","player_win_ratio","shot_assisted_ratio"
"2019","Aaron Gordon","ORL",23,78,40,38,33.8,56,9.3,29.1,12,14.8,13.7,46.7,50.4,49.6,84.3,15.7,59.1,40.9,2636.4,0.512820512820513,1.44
"2019","Al Horford","BOS",33,68,41,27,29,67.9,20.1,23.7,5,8.4,11.5,47.8,75.2,24.8,100,0,79.8,20.2,1972,0.602941176470588,3.95
"2019","Al-Farouq Aminu","POR",28,81,52,29,28.3,42.4,1.8,37.9,13.6,19.7,15.9,40.5,51.6,48.4,100,0,69.6,30.4,2292.3,0.641975308641975,2.29
"2019","Alec Burks","SAC",27,64,19,45,21.5,46.7,7.8,32.6,7.1,20.7,11.9,38.9,42,58,77,23,53.1,46.9,1376,0.296875,1.13
"2019","Alex Len","ATL",25,77,28,49,20.1,57.6,2.1,26,6.9,16.4,12.4,55.5,72,28,98.6,1.4,78.1,21.9,1547.7,0.363636363636364,3.57
"2019","Alfonzo McKinnie","GSW",26,72,53,19,13.9,54.6,3.6,37.4,19.3,8,12.8,51,71.7,28.3,100,0,80.6,19.4,1000.8,0.736111111111111,4.15
"2019","Allen Crabbe","BKN",27,43,19,24,26.4,18.9,5.8,71.2,15,9.9,11.6,13.1,87.2,12.8,99,1,95.6,4.4,1135.2,0.441860465116279,21.73
"2019","Allonzo Trier","NYK",23,64,13,51,22.8,51.8,13.5,22.4,13.8,25.8,15.5,38.3,26.7,73.3,63.5,36.5,34.9,65.1,1459.2,0.203125,0.54
"2019","Andre Drummond","DET",25,79,40,39,33.5,81.2,1.3,1.1,7,17.7,18,79.9,57,43,80,20,57.2,42.8,2646.5,0.506329113924051,1.34
"2019","Andre Iguodala","GSW",35,68,47,21,23.2,53,4.1,37,21.6,10,20.6,48.8,75.7,24.3,95.8,4.2,82.1,17.9,1577.6,0.691176470588235,4.59
"2019","Andrew Wiggins","MIN",24,73,31,42,34.8,57.5,16.7,26.8,10.4,15.7,13,40.9,45,55,81.4,18.6,53.6,46.4,2540.4,0.424657534246575,1.16
"2019","Ante Zizic","CLE",22,59,13,46,18.3,79.7,6.1,0,5,20.3,13.3,73.6,68.3,31.7,0,0,68.3,31.7,1079.7,0.220338983050847,2.15
"2019","Anthony Davis","NOP",26,56,25,31,33,66.4,11.4,9.9,10.7,23.7,17.1,55,61.8,38.2,100,0,65.3,34.7,1848,0.446428571428571,1.88
"2019","Anthony Tolliver","MIN",34,65,27,38,16.6,11,2.5,74.5,13.8,14.4,16.3,8.6,61.1,38.9,100,0,92.9,7.1,1079,0.415384615384615,13.08
"2019","Austin Rivers","HOU",26,76,45,31,26.7,41.4,1.3,50.5,10.7,8.1,22.3,40.1,31.3,68.8,68.3,31.7,47.8,52.2,2029.2,0.592105263157895,0.92
"2019","Avery Bradley","MEM",28,63,31,32,30.2,51.8,27.8,41.3,11.7,6.9,14.7,24,61.1,38.9,86,14,69.8,30.2,1902.6,0.492063492063492,2.31
"2019","Bam Adebayo","MIA",21,82,39,43,23.3,76,4.4,1.2,10,22.8,17.4,71.6,70,30,66.7,33.3,70,30,1910.6,0.475609756097561,2.33
"2019","Ben Simmons","PHI",22,79,50,29,34.2,80.8,2.1,0,19.7,19.2,14.2,78.7,43.5,56.5,0,0,43.5,56.5,2701.8,0.632911392405063,0.77
"2019","Blake Griffin","DET",30,75,39,36,35,46.7,2.9,30.8,5.5,22.5,13.2,43.8,34,66,56.1,43.9,40.7,59.3,2625,0.52,0.69
"2019","Bobby Portis","WAS",24,50,14,36,26,57.5,10.4,31.7,8.9,10.8,15.5,47,53.4,46.6,100,0,65.9,34.1,1300,0.28,1.93
"2019","Bogdan Bogdanovic","SAC",26,70,32,38,27.8,45.9,12.1,40.6,12.1,13.5,13.7,33.7,38.3,61.7,79.1,20.9,53.5,46.5,1946,0.457142857142857,1.15
"2019","Bojan Bogdanovic","IND",30,81,47,34,31.8,49.2,9.4,33.8,18.6,16.9,21,39.9,64.2,35.8,92.1,7.9,73,27,2575.8,0.580246913580247,2.7
"2019","Bradley Beal","WAS",25,82,32,50,36.9,52.9,14,29.9,13.7,17.2,14.2,38.9,42.5,57.5,71.8,28.2,50.5,49.5,3025.8,0.390243902439024,1.02
"2019","Brandon Ingram","LAL",21,52,25,27,33.9,69.7,14.7,9.8,17.7,20.5,11.6,54.9,36.3,63.7,90.3,9.7,40.9,59.1,1762.8,0.480769230769231,0.69
"2019","Brook Lopez","MIL",31,81,60,21,28.7,33.3,3,55.6,7.1,11.1,8.3,30.3,64.9,35.1,95.2,4.8,80.8,19.2,2324.7,0.740740740740741,4.21
"2019","Bruce Brown","DET",22,74,35,39,19.6,63.3,1.3,22.6,15,14.1,20.7,62.1,61.4,38.6,95.8,4.2,68,32,1450.4,0.472972972972973,2.12
"2019","Bryn Forbes","SAS",25,82,48,34,28,38.3,17.4,54.6,15.1,7.1,13.3,20.9,54.6,45.4,84.7,15.3,69.3,30.7,2296,0.585365853658537,2.26
"2019","Buddy Hield","SAC",26,82,39,43,31.9,40.7,14.6,49.2,24.3,10.1,17.6,26.1,50.4,49.6,84.2,15.8,65.5,34.5,2615.8,0.475609756097561,1.9
"2019","CJ McCollum","POR",27,70,43,27,33.9,55,21.8,34.1,12.9,10.8,12,33.2,35.6,64.4,73.1,26.9,46.6,53.4,2373,0.614285714285714,0.87
"2019","CJ Miles","MEM",32,53,33,20,16.2,26.5,8.3,59.3,14.7,14.2,11.5,18.3,66.7,33.3,97,3,84.8,15.2,858.6,0.622641509433962,5.58
"2019","Caris LeVert","BKN",24,40,19,21,26.6,58.1,1.5,26.3,9,15.5,17.7,56.7,31.4,68.6,45.8,54.2,34.8,65.2,1064,0.475,0.53
"2019","Cedi Osman","CLE",24,76,17,59,32.2,46.4,8.1,39.4,13.6,14.2,12.4,38.3,50,50,83.8,16.2,62.2,37.8,2447.2,0.223684210526316,1.65
"2019","Chandler Hutchison","CHI",23,44,10,34,20.3,71.6,6.1,18.3,26.2,10,21.8,65.5,62.2,37.8,100,0,67.7,32.3,893.2,0.227272727272727,2.1
"2019","Cheick Diallo","NOP",22,64,27,37,14,86.3,15.5,0.8,12.1,12.9,12.9,70.8,82.6,17.4,100,0,82.7,17.3,896,0.421875,4.78
"2019","Chris Paul","HOU",34,58,39,19,32,38.6,14.6,42.1,6.7,19.3,17.4,24.1,5.7,94.3,25.2,74.8,13.9,86.1,1856,0.672413793103448,0.16
"2019","Clint Capela","HOU",25,67,44,23,33.6,85.1,0,0,14.2,14.9,12.1,85.1,81.2,18.8,0,0,81.2,18.8,2251.2,0.656716417910448,4.32
"2019","Cody Zeller","CHA",26,49,22,27,25.4,74,1.2,3.6,7.2,22.3,17.5,72.8,74.5,25.5,100,0,75.3,24.7,1244.6,0.448979591836735,3.05
"2019","Collin Sexton","CLE",20,82,19,63,31.8,58.4,21.2,26,14.9,15.6,13.6,37.2,31.8,68.3,63.9,36.1,39.1,60.9,2607.6,0.231707317073171,0.64
"2019","Cory Joseph","IND",27,82,48,34,25.2,63.7,26.8,30.7,11.4,5.6,17.5,36.9,26.9,73.1,92.7,7.3,42.9,57.1,2066.4,0.585365853658537,0.75
"2019","D'Angelo Russell","BKN",23,81,42,39,30.2,49.6,15.4,41,11.4,9.3,14.1,34.2,15.5,84.5,53,47,28.8,71.2,2446.2,0.518518518518518,0.4
"2019","D.J. Augustin","ORL",31,81,42,39,28,39.5,7,41.5,11.2,19.1,14.1,32.5,18.2,81.8,64.1,35.9,37.1,62.9,2268,0.518518518518518,0.59
"2019","D.J. Wilson","MIL",23,48,37,11,18.4,41.4,6.4,49.3,9.3,9.3,19.3,35,77.6,22.4,95.7,4.3,85.6,14.4,883.2,0.770833333333333,5.94
"2019","Damian Lillard","POR",28,80,51,29,35.5,43,12.7,34.4,10.2,22.6,13.4,30.3,19.4,80.6,46,54,28.6,71.4,2840,0.6375,0.4
