year,team,win_pct,team_pct_pts_2pt,team_pct_pts_mr,team_pct_pts_3pt,team_pct_pts_fstbrk,team_pct_pts_ft,team_pct_pts_off_tos,team_pct_pts_inthept,team_pct_2ptgfm_asstd,team_pct_3ptgfm_asstd
2014,ATL,46.34,53.75,15.95,30.50,12.42,15.75,17.07,37.81,63.30,79.34
2014,BKN,30.49,57.45,16.26,24.41,10.65,18.15,19.49,41.16,51.60,74.61
2014,BOS,53.66,63.02,21.92,20.85,12.51,16.12,17.57,41.11,48.97,74.29
2014,CHA,52.44,57.00,18.33,25.64,11.15,17.40,14.65,38.66,55.59,72.01
2014,CHI,58.54,57.31,20.88,24.19,10.76,18.50,16.41,36.41,58.11,55.23
2014,CLE,40.24,60.29,18.97,22.74,11.50,16.96,15.91,41.35,55.12,62.35
2014,DAL,59.76,62.29,14.28,23.03,11.16,14.67,15.99,48.01,55.33,59.51
2014,DEN,43.90,56.39,14.53,26.04,13.75,17.59,15.43,41.86,47.26,66.44
2014,DET,35.37,64.45,13.49,18.38,18.61,17.18,18.59,50.96,47.21,60.63
2014,GSW,62.20,59.29,14.51,25.02,12.32,15.69,15.47,44.77,50.09,60.64
2014,HOU,65.85,52.85,5.25,29.13,15.56,18.01,15.13,47.62,49.20,81.62
2014,IND,68.29,66.11,22.26,14.78,9.40,19.11,15.80,43.88,52.10,82.18
2014,LAC,69.51,56.25,20.15,26.51,16.83,17.28,18.25,36.08,61.29,75.37
2014,LAL,32.93,56.03,15.17,27.34,15.31,16.64,15.95,40.85,53.72,67.69
2014,MEM,60.98,70.69,18.17,14.86,12.53,14.44,17.45,52.53,54.31,71.65
2014,MIA,65.85,53.08,12.21,31.53,10.74,15.41,18.70,40.87,50.19,89.63
2014,MIL,18.29,63.82,16.31,16.80,13.69,19.38,17.43,47.51,54.58,57.60
2014,MIN,48.78,64.69,17.21,16.03,15.09,19.29,17.18,47.48,53.90,64.04
2014,NOP,41.46,67.58,16.61,15.27,12.29,17.16,17.65,50.94,47.59,66.44
2014,NYK,45.12,53.33,18.71,32.56,9.31,14.11,18.08,34.62,45.07,63.71
2014,OKC,71.95,58.54,17.03,24.10,12.10,17.36,16.56,41.49,54.71,65.07
2014,ORL,28.05,63.16,21.91,21.46,12.30,15.40,15.80,41.24,50.18,64.73
2014,PHI,23.17,59.50,10.03,22.81,18.70,17.70,19.53,49.46,52.63,70.51
